Date,Open,High,Low,Close,Adj Close,Volume
2021-06-22,56.154999,58.025002,55.985001,57.775002,57.143559,51789400
2021-06-23,57.785000,58.480000,57.465000,57.875000,57.242462,46998400
2021-06-24,58.869999,59.744999,58.595001,58.939999,58.295822,46836200
2021-06-25,59.244999,59.375000,58.424999,58.755001,58.112846,43496600
2021-06-28,59.384998,60.939999,59.369999,60.834999,60.170113,44393800
2021-06-29,60.779999,61.540001,60.334999,61.520000,60.847630,37280000
2021-06-30,61.445000,61.650002,60.924999,61.250000,60.580578,40273400
2021-07-01,61.040001,61.570000,60.325001,61.279999,60.610249,41917400
2021-07-02,62.320000,63.575001,62.189999,63.360001,62.667515,46751000
2021-07-06,63.724998,64.379997,62.250000,64.209999,63.508228,54799800
2021-07-07,65.449997,65.610001,63.549999,64.620003,63.913746,57637800
2021-07-08,61.845001,63.930000,61.119999,63.500000,62.805988,76262200
2021-07-09,63.139999,64.900002,62.814999,64.574997,63.869236,46437800
2021-07-12,65.400002,65.644997,64.529999,65.385002,64.670387,43563000
2021-07-13,65.190002,67.035004,64.904999,65.349998,64.635765,59725000
2021-07-14,66.680000,67.040001,65.275002,65.705002,64.986885,68021400
2021-07-15,65.705002,65.790001,63.230000,64.345001,63.641758,68596400
2021-07-16,64.830002,65.355003,62.584999,62.764999,62.079021,63701400
2021-07-19,60.904999,61.500000,59.834999,61.259998,60.590469,101143200
2021-07-20,61.720001,64.150002,60.775002,63.279999,62.588390,60772400
2021-07-21,63.154999,64.794998,63.000000,64.724998,64.017593,40881600
2021-07-22,64.925003,66.099998,64.919998,66.084999,65.362732,47478800
2021-07-23,66.849998,68.555000,66.144997,68.279999,67.533737,51949200
2021-07-26,68.010002,68.785004,67.519997,68.565002,67.815636,42988800
2021-07-27,68.415001,68.415001,63.915001,66.324997,65.600113,89391000
2021-07-28,66.930000,67.930000,65.635002,67.050003,66.317192,71970200
2021-07-29,66.739998,68.059998,66.735001,67.379997,66.643585,44319200
2021-07-30,65.175003,66.675003,65.135002,66.370003,65.644623,56559400
2021-08-02,67.269997,67.595001,66.010002,66.349998,65.624840,54560000
2021-08-03,66.720001,67.599998,64.925003,67.504997,66.767212,63417800
2021-08-04,67.544998,68.379997,66.900002,67.839996,67.098549,48428400
2021-08-05,68.279999,69.239998,67.900002,69.114998,68.359612,38670200
2021-08-06,68.394997,68.964996,67.580002,68.214996,67.469444,43153000
2021-08-09,68.455002,68.889999,67.839996,68.580002,67.830467,34210800
2021-08-10,68.885002,69.055000,66.860001,67.555000,66.816666,53081200
2021-08-11,68.250000,68.525002,66.419998,67.190002,66.455658,46594000
2021-08-12,66.904999,68.099998,66.120003,67.889999,67.148003,39745400
2021-08-13,68.089996,68.805000,67.815002,68.570000,67.820572,36644800
2021-08-16,67.970001,68.714996,65.750000,68.690002,67.939270,61229200
2021-08-17,67.105003,67.675003,65.485001,66.885002,66.153999,83197600
2021-08-18,66.550003,67.360001,64.754997,64.940002,64.230255,65042400
2021-08-19,63.869999,66.800003,63.724998,65.864998,65.145142,81623800
2021-08-20,66.474998,68.135002,66.290001,67.900002,67.157906,62541200
2021-08-23,68.514999,71.349998,68.500000,70.925003,70.149834,48266200
2021-08-24,71.305000,71.970001,71.035004,71.625000,70.842186,36343400
2021-08-25,71.745003,72.199997,71.315002,71.705002,70.921318,38063600
2021-08-26,71.334999,71.754997,70.220001,70.489998,69.719589,53502400
2021-08-27,70.845001,72.800003,70.570000,72.550003,71.757080,46160000
2021-08-30,73.000000,75.260002,72.974998,74.955002,74.135796,45635200
2021-08-31,75.110001,75.150002,73.845001,74.745003,73.928085,45898000
2021-09-01,75.415001,76.410004,75.035004,75.154999,74.333603,47784000
2021-09-02,75.974998,76.169998,74.300003,75.050003,74.229759,47519200
2021-09-03,74.349998,75.970001,74.330002,75.724998,74.897377,46600600
2021-09-07,75.775002,76.440002,75.080002,76.035004,75.203987,45185400
2021-09-08,75.904999,75.925003,73.855003,75.254997,74.432510,63423000
2021-09-09,75.364998,76.050003,74.294998,74.449997,73.636307,55286800
2021-09-10,75.500000,75.925003,72.555000,72.775002,71.979614,69217800
2021-09-13,74.144997,74.389999,71.379997,72.610001,71.816422,77774600
2021-09-14,73.474998,73.930000,71.410004,71.985001,71.198250,59629200
2021-09-15,72.245003,73.779999,70.879997,73.580002,72.775826,55892600
2021-09-16,72.775002,74.065002,71.620003,73.724998,72.919228,52615400
2021-09-17,73.449997,73.464996,70.480003,71.120003,70.342705,77325200
2021-09-20,67.709999,68.730003,64.000000,66.745003,66.015518,121913600
2021-09-21,67.690002,68.375000,66.294998,66.830002,66.099594,71700600
2021-09-22,67.430000,69.614998,66.805000,68.785004,68.033234,87669400
2021-09-23,69.455002,71.285004,69.084999,70.695000,69.922348,69369600
2021-09-24,69.360001,71.125000,69.150002,70.894997,70.120163,54775200
2021-09-27,69.105003,69.699997,67.699997,69.184998,68.428848,78355400
2021-09-28,66.570000,66.945000,63.035000,63.415001,62.721916,148823000
2021-09-29,63.980000,65.144997,62.650002,62.994999,62.306503,97530600
2021-09-30,63.889999,64.769997,62.040001,62.285000,61.604263,117312000
2021-10-01,62.625000,64.004997,60.419998,63.419998,62.726860,104354000
2021-10-04,62.549999,62.744999,58.235001,59.520000,58.869488,128618000
2021-10-05,59.985001,63.000000,59.860001,61.810001,61.134457,81306400
2021-10-06,60.130001,63.160000,59.630001,63.029999,62.341122,117495400
2021-10-07,64.660004,66.169998,64.364998,64.735001,64.027496,75407600
2021-10-08,65.334999,65.459999,63.485001,63.740002,63.043365,78566000
2021-10-11,62.930000,64.845001,62.270000,62.325001,61.643829,68107600
2021-10-12,63.084999,63.310001,61.305000,61.689999,61.015770,87201800
2021-10-13,62.889999,63.474998,61.799999,63.134998,62.444977,70460600
2021-10-14,65.055000,66.724998,64.699997,66.620003,65.891891,60875000
2021-10-15,67.300003,67.925003,66.709999,67.855003,67.113396,51429000
2021-10-18,67.125000,70.010002,66.790001,69.889999,69.126152,50438200
2021-10-19,70.519997,71.514999,70.139999,71.425003,70.644371,53225400
2021-10-20,71.745003,72.110001,70.339996,71.199997,70.421829,59354800
2021-10-21,70.720001,72.605003,70.565002,72.474998,71.682892,46050200
2021-10-22,71.735001,72.330002,69.680000,70.639999,69.867950,70124200
2021-10-25,71.495003,73.364998,70.360001,72.760002,71.964790,59475800
2021-10-26,74.160004,75.599998,72.824997,73.440002,72.637352,83987800
2021-10-27,73.779999,75.860001,73.629997,74.019997,73.211006,72534000
2021-10-28,75.154999,76.625000,74.699997,76.449997,75.614449,65368800
2021-10-29,74.595001,77.699997,74.389999,77.580002,76.732109,67257200
2021-11-01,77.900002,78.464996,76.589996,78.345001,77.488747,65022800
2021-11-02,78.014999,79.684998,77.980003,79.389999,78.522324,60085600
2021-11-03,79.669998,82.160004,79.035004,81.910004,81.014778,72605200
2021-11-04,82.714996,85.675003,82.364998,84.964996,84.036385,80439800
2021-11-05,86.230003,86.830002,84.364998,85.279999,84.347939,85252800
2021-11-08,85.250000,85.949997,84.529999,84.930000,84.001770,56459800
2021-11-09,85.625000,85.894997,82.285004,83.180000,82.270897,88118800
2021-11-10,81.360001,83.199997,78.250000,79.535004,78.665733,96976800
2021-11-11,81.375000,81.495003,79.949997,80.180000,79.303688,57719000
2021-11-12,80.904999,83.035004,79.875000,82.724998,81.820869,63820400
2021-11-15,83.455002,83.654999,81.044998,82.699997,81.796135,69729200
2021-11-16,82.144997,84.705002,82.029999,84.410004,83.487457,51590800
2021-11-17,84.605003,85.845001,83.894997,84.510002,83.586365,57968000
2021-11-18,85.839996,87.449997,84.385002,87.095001,86.143112,86841600
2021-11-19,88.214996,89.434998,87.660004,88.570000,87.601990,64607200
2021-11-22,89.644997,91.680000,85.430000,85.500000,84.565544,89522400
2021-11-23,84.724998,86.084999,81.394997,84.334999,83.413277,113012800
2021-11-24,82.654999,85.279999,81.165001,85.114998,84.184746,99120800
2021-11-26,83.389999,84.320000,79.360001,80.419998,79.541061,88841200
2021-11-29,83.099998,86.080002,82.665001,85.415001,84.481468,79466000
2021-11-30,84.839996,86.394997,80.355003,81.745003,80.851585,151293000
2021-12-01,84.430000,85.809998,77.235001,77.550003,76.702431,151275600
2021-12-02,76.709999,80.260002,75.824997,79.010002,78.146477,198216400
2021-12-03,80.000000,80.639999,72.464996,75.040001,74.219864,240286800
2021-12-06,75.294998,77.639999,72.764999,76.794998,75.955681,152414000
2021-12-07,80.885002,84.139999,80.870003,83.720001,82.804993,135289200
2021-12-08,83.945000,85.000000,82.735001,84.885002,83.957268,102621800
